,GEOID,INTPTLAT,INTPTLON,State,County,TRACT,StateID,CountyID,Population,MedianIncome,MedianAge,Family,Nonfamily,Householdsize0,Householdsize2,Pop Age 15+: Married,Pop Age 15+: Nevermarried,Pop Age 15+: Divorced,Pop Age 25+: Bachelor's Degree,Pop Age 25 Grad Professional,Adult,Blackpop,Whitepop,Hispanicpop,Mobility,AREA,Population_Density,Female_density,GDP,Is_Florida,Is_Tennessee,Is_Alabama,TJ.Maxx,Marshalls,HomeGoods,Lowe's_3m,The Home Depot_3m,Walmart_3m,Burlington_3m,Kohl's_3m,Ross Dress for Less_3m,Lowe's_visits_3m,The Home Depot_visits_3m,Walmart_visits_3m,Burlington_visits_3m,Kohl's_visits_3m,Ross Dress for Less_visits_3m,Lowe's_1m,The Home Depot_1m,Walmart_1m,Burlington_1m,Kohl's_1m,Ross Dress for Less_1m,Lowe's_visits_1m,The Home Depot_visits_1m,Walmart_visits_1m,Burlington_visits_1m,Kohl's_visits_1m,Ross Dress for Less_visits_1m,Aldi's_3m,Publix_3m,The Fresh Market_3m,Whole Foods Market_3m,Winn-Dixie_3m,Aldi's_visits_3m,Publix_visits_3m,The Fresh Market_visits_3m,Whole Foods Market_visits_3m,Winn-Dixie_visits_3m,num_star,tjmaxx_3m,Marshalls_3m,Homegoods_3m,tjmaxx_visits_3m,Marshalls_visits_3m,Homegoods_visits_3m,is_TJMaxx,is_Marshalls,is_HomeGoods
1385,1069040400,31.2357975,-85.4197082,Alabama,Houston County,40400.0,1.0,69.0,2450.0,82188.0,41.5,667.0,373.0,399.0,235.0,1067,576,234,542,288,1887.0,349.0,1967.0,21.0,2417.0,1.59,1540.880503,0.499591837,4788927,0,0,1,609619.1433333333,482657.20666666667,451261.24333333335,2,1,1,1,1,1,1819663,569065,288849,2502895,292021,436236,0,1,0,0,0,0,0,569065,0,0,0,0,0,2,0,0,1,0,1843053,0,0,416448,0,1,0,1,710596,0,368202,1,0,0
1371,1077010800,34.8120194,-87.6244223,Alabama,Lauderdale County,10800.0,1.0,77.0,3412.0,39280.0,33.2,834.0,631.0,650.0,306.0,1256,667,528,146,22,2526.0,612.0,2641.0,326.0,3395.0,4.46,765.0224215,0.510550996,2298418,0,0,1,576706.8533333334,426759.7266666667,379288.73,1,1,0,1,1,1,906734,537133,0,2578964,295230,295944,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,242998,908940,0,0,0,0,1,0,0,757204,0,0,1,0,0
290,1051031001,32.485623,-86.3821315,Alabama,Elmore County,31001.0,1.0,51.0,3486.0,34918.0,30.6,977.0,466.0,419.0,221.0,1206,731,375,282,202,2506.0,760.0,2377.0,400.0,3486.0,5.26,662.7376426,0.608146873,1709154,0,0,1,533936.9466666667,407010.72,371029.9033333333,1,1,0,2,1,1,791576,643596,0,4451862,273578,355349,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,240610,1039268,0,0,493171,0,1,0,0,548695,0,0,1,0,0
247,1003010709,30.5788587,-87.8390181,Alabama,Baldwin County,10709.0,1.0,3.0,11493.0,104326.0,32.9,2915.0,410.0,608.0,1772.0,5521,1555,733,1406,1627,7269.0,918.0,10370.0,363.0,11493.0,24.25,473.9381443,0.465848778,6985901,0,0,1,525679.2733333333,451213.2633333333,399610.7733333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
271,1055001300,34.0078734,-85.9865957,Alabama,Etowah County,1300.0,1.0,55.0,2967.0,25764.0,28.8,722.0,472.0,358.0,349.0,878,1195,347,44,130,2438.0,1077.0,1686.0,285.0,2967.0,2.29,1295.633188,0.524435457,2563314,0,0,1,524004.61,401490.45666666667,361834.36666666664,1,0,0,1,0,1,1097125,0,0,2518193,0,257489,1,0,0,1,0,1,1097125,0,0,2518193,0,257489,1,0,0,0,0,275791,0,0,0,0,0,1,0,0,595703,0,0,1,0,0
29,1089001902,34.682595,-86.5407538,Alabama,Madison County,1902.0,1.0,89.0,1776.0,178500.0,57.1,510.0,406.0,397.0,197.0,1010,221,78,540,430,1504.0,66.0,1657.0,40.0,1755.0,4.95,358.7878788,0.510135135,23543852,0,0,1,479269.24333333335,498382.25666666665,469725.2766666667,0,0,0,1,1,0,0,0,0,1607142,245017,0,0,0,0,0,1,0,0,0,0,0,245017,0,0,1,1,0,0,0,834031,347958,0,0,1,1,1,0,520098,579489,0,0,1,0
1385,1069040400,31.2357975,-85.4197082,Alabama,Houston County,40400.0,1.0,69.0,2450.0,82188.0,41.5,667.0,373.0,399.0,235.0,1067,576,234,542,288,1887.0,349.0,1967.0,21.0,2417.0,1.59,1540.880503,0.499591837,4788927,0,0,1,609619.1433333333,482657.20666666667,451261.24333333335,2,1,1,1,1,1,1819663,569065,288849,2502895,292021,436236,0,1,0,0,0,0,0,569065,0,0,0,0,0,2,0,0,1,0,1843053,0,0,416448,0,1,0,1,710596,0,368202,0,1,0
66,1089002804,34.6243539,-86.5769686,Alabama,Madison County,2804.0,1.0,89.0,2925.0,125158.0,48.6,873.0,377.0,343.0,365.0,1520,489,249,663,198,2301.0,24.0,2667.0,12.0,2925.0,1.36,2150.735294,0.537777778,23543852,0,0,1,480332.51,465486.56333333335,434303.26,1,1,0,1,0,0,585475,548812,0,1636279,0,0,0,0,0,1,0,0,0,0,0,1636279,0,0,1,1,0,0,0,125296,562178,0,0,0,0,0,0,0,0,0,0,0,1,0
29,1089001902,34.682595,-86.5407538,Alabama,Madison County,1902.0,1.0,89.0,1776.0,178500.0,57.1,510.0,406.0,397.0,197.0,1010,221,78,540,430,1504.0,66.0,1657.0,40.0,1755.0,4.95,358.7878788,0.510135135,23543852,0,0,1,479269.24333333335,498382.25666666665,469725.2766666667,0,0,0,1,1,0,0,0,0,1607142,245017,0,0,0,0,0,1,0,0,0,0,0,245017,0,0,1,1,0,0,0,834031,347958,0,0,1,1,1,0,520098,579489,0,0,0,1
1385,1069040400,31.2357975,-85.4197082,Alabama,Houston County,40400.0,1.0,69.0,2450.0,82188.0,41.5,667.0,373.0,399.0,235.0,1067,576,234,542,288,1887.0,349.0,1967.0,21.0,2417.0,1.59,1540.880503,0.499591837,4788927,0,0,1,609619.1433333333,482657.20666666667,451261.24333333335,2,1,1,1,1,1,1819663,569065,288849,2502895,292021,436236,0,1,0,0,0,0,0,569065,0,0,0,0,0,2,0,0,1,0,1843053,0,0,416448,0,1,0,1,710596,0,368202,0,0,1
801,1055010602,34.0230465,-85.8014777,Alabama,Etowah County,10602.0,1.0,55.0,3637.0,61528.0,39.3,852.0,380.0,461.0,270.0,1781,794,294,370,121,3008.0,0.0,3523.0,17.0,3610.0,64.99,55.96245576,0.536431125,2563314,0,0,1,455555.2733333333,459629.7766666667,443522.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3397,12086019402,25.6505374,-80.4070121,Florida,Miami-Dade County,19402.0,12.0,86.0,5568.0,69224.0,32.1,1308.0,270.0,161.0,443.0,1858,1661,394,995,284,3898.0,271.0,4286.0,3461.0,5499.0,1.9,2930.526316,0.536099138,140522662,1,0,0,694576.5933333334,565935.5566666666,523643.5833333333,1,2,1,0,0,2,653898,2298416,294561,0,0,1007380,0,0,0,0,0,1,0,0,0,0,0,500092,2,6,0,0,0,950022,4977859,0,0,0,1,1,1,0,1134979,483807,0,1,0,0
3403,12086018901,25.6625875,-80.4119411,Florida,Miami-Dade County,18901.0,12.0,86.0,3529.0,96356.0,38.1,863.0,214.0,143.0,631.0,1491,662,363,725,337,2633.0,157.0,3204.0,2166.0,3479.0,0.45,7842.222222,0.559648626,140522662,1,0,0,685568.2733333333,566069.64,529627.1166666667,1,3,1,1,1,2,653898,3511183,294561,2688695,495150,1007380,0,0,0,0,0,1,0,0,0,0,0,500092,2,7,0,0,0,950022,5746610,0,0,0,1,1,1,0,1134979,483807,0,1,0,0
5669,12033001202,30.4948698,-87.2162337,Florida,Escambia County,1202.0,12.0,33.0,4079.0,41510.0,33.6,983.0,794.0,604.0,424.0,1143,1371,591,412,140,2989.0,1045.0,2483.0,408.0,4013.0,1.89,2158.201058,0.511399853,14144123,1,0,0,663843.8766666667,519326.43333333335,466878.93,1,1,1,1,1,2,769381,648457,282514,2489050,419942,493011,0,0,1,0,0,0,0,0,282514,0,0,0,0,2,1,0,2,0,2032278,675316,0,741829,0,1,1,0,817421,277451,0,1,0,0
2128,12095016741,28.5534471,-81.2020088,Florida,Orange County,16741.0,12.0,95.0,3109.0,78851.0,37.5,398.0,1214.0,337.0,234.0,740,1755,209,848,317,2787.0,846.0,1907.0,1914.0,3046.0,0.59,5269.491525,0.513991637,83705113,1,0,0,652521.14,536677.44,484456.7233333333,1,1,1,1,1,1,769102,882114,282191,2999672,469315,714100,1,1,1,0,1,1,769102,882114,282191,0,469315,714100,2,2,0,0,1,321943,1787405,0,0,322481,2,1,0,0,768982,0,0,1,0,0
3149,12001002204,29.677987,-82.4798497,Florida,Alachua County,2204.0,12.0,1.0,11001.0,94229.0,39.3,2950.0,1169.0,973.0,1269.0,5515,2328,592,1966,1971,8374.0,626.0,8460.0,504.0,10899.0,12.49,880.7846277,0.528315608,12653895,1,0,0,647293.11,569265.9633333334,521476.56333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2403309,0,0,0,0,0,0,0,0,0,0,1,0,0
4246,12086009055,25.7636549,-80.3567989,Florida,Miami-Dade County,9055.0,12.0,86.0,2376.0,72019.0,46.4,566.0,145.0,234.0,149.0,1100,614,285,302,209,2091.0,15.0,2146.0,2085.0,2334.0,0.25,9504.0,0.536195286,140522662,1,0,0,646277.65,581009.61,545886.47,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,1,0,1,0,0,0,1799254,0,616048,2,5,0,0,1,800051,5052916,0,0,819950,1,2,2,0,953877,738457,0,1,0,0
4070,12086009020,25.7644962,-80.3696807,Florida,Miami-Dade County,9020.0,12.0,86.0,3120.0,37731.0,38.5,769.0,364.0,397.0,334.0,934,939,436,336,44,2511.0,52.0,2304.0,2915.0,3113.0,0.12,26000.0,0.558012821,140522662,1,0,0,632490.55,550483.0266666666,525430.8533333334,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,0,0,1,0,0,0,0,0,616048,2,4,0,0,1,800051,4075582,0,0,819950,3,2,1,0,953877,562742,0,1,0,0
3978,12086009052,25.7647536,-80.3489597,Florida,Miami-Dade County,9052.0,12.0,86.0,4303.0,51149.0,43.4,833.0,746.0,751.0,441.0,1335,1132,809,638,276,3811.0,29.0,3714.0,4096.0,4303.0,0.27,15937.03704,0.602370439,140522662,1,0,0,627718.6633333333,557760.1566666666,536339.9966666667,0,3,2,3,1,2,0,4067669,1135584,7072484,356795,1006611,0,0,0,1,0,1,0,0,0,1799254,0,616048,2,5,0,0,1,800051,5052916,0,0,819950,0,2,2,0,953877,738457,0,1,0,0
4071,12086009029,25.7722484,-80.3627646,Florida,Miami-Dade County,9029.0,12.0,86.0,4322.0,71250.0,45.5,1016.0,403.0,276.0,383.0,1832,931,567,833,268,3562.0,13.0,3405.0,4111.0,4305.0,0.46,9395.652174,0.499768626,140522662,1,0,0,623993.62,553424.0666666667,513670.48,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,0,1,1,0,0,0,0,356795,616048,2,5,0,0,2,800051,4872401,0,0,1561217,1,2,2,0,953877,738457,0,1,0,0
3497,12086016800,25.709883,-80.4260118,Florida,Miami-Dade County,16800.0,12.0,86.0,4108.0,88164.0,37.9,969.0,268.0,251.0,296.0,1405,1247,615,668,249,3450.0,1.0,3499.0,3543.0,4073.0,0.81,5071.604938,0.592745862,140522662,1,0,0,620222.45,538925.5666666667,499593.01,1,2,1,1,1,2,653898,2401323,294561,2688695,495150,1153878,0,0,0,0,0,1,0,0,0,0,0,646590,2,8,0,0,0,765044,6763468,0,0,0,0,0,1,0,0,483807,0,1,0,0
2735,12099007812,26.6938983,-80.2262195,Florida,Palm Beach County,7812.0,12.0,99.0,5318.0,74527.0,44.0,1104.0,824.0,515.0,680.0,1635,1404,1079,635,389,4303.0,1206.0,3763.0,1130.0,5308.0,1.61,3303.10559,0.529522377,75792930,1,0,0,537229.3533333334,599983.77,555776.45,1,1,1,1,1,1,768930,1259049,465065,2418940,437250,440871,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4119545,0,0,290115,0,1,1,0,420064,819819,0,0,1,0
4246,12086009055,25.7636549,-80.3567989,Florida,Miami-Dade County,9055.0,12.0,86.0,2376.0,72019.0,46.4,566.0,145.0,234.0,149.0,1100,614,285,302,209,2091.0,15.0,2146.0,2085.0,2334.0,0.25,9504.0,0.536195286,140522662,1,0,0,646277.65,581009.61,545886.47,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,1,0,1,0,0,0,1799254,0,616048,2,5,0,0,1,800051,5052916,0,0,819950,1,2,2,0,953877,738457,0,0,1,0
3149,12001002204,29.677987,-82.4798497,Florida,Alachua County,2204.0,12.0,1.0,11001.0,94229.0,39.3,2950.0,1169.0,973.0,1269.0,5515,2328,592,1966,1971,8374.0,626.0,8460.0,504.0,10899.0,12.49,880.7846277,0.528315608,12653895,1,0,0,647293.11,569265.9633333334,521476.56333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2403309,0,0,0,0,0,0,0,0,0,0,0,1,0
3403,12086018901,25.6625875,-80.4119411,Florida,Miami-Dade County,18901.0,12.0,86.0,3529.0,96356.0,38.1,863.0,214.0,143.0,631.0,1491,662,363,725,337,2633.0,157.0,3204.0,2166.0,3479.0,0.45,7842.222222,0.559648626,140522662,1,0,0,685568.2733333333,566069.64,529627.1166666667,1,3,1,1,1,2,653898,3511183,294561,2688695,495150,1007380,0,0,0,0,0,1,0,0,0,0,0,500092,2,7,0,0,0,950022,5746610,0,0,0,1,1,1,0,1134979,483807,0,0,1,0
3397,12086019402,25.6505374,-80.4070121,Florida,Miami-Dade County,19402.0,12.0,86.0,5568.0,69224.0,32.1,1308.0,270.0,161.0,443.0,1858,1661,394,995,284,3898.0,271.0,4286.0,3461.0,5499.0,1.9,2930.526316,0.536099138,140522662,1,0,0,694576.5933333334,565935.5566666666,523643.5833333333,1,2,1,0,0,2,653898,2298416,294561,0,0,1007380,0,0,0,0,0,1,0,0,0,0,0,500092,2,6,0,0,0,950022,4977859,0,0,0,1,1,1,0,1134979,483807,0,0,1,0
3110,12095016802,28.4025411,-81.2944984,Florida,Orange County,16802.0,12.0,95.0,14513.0,111896.0,38.2,3729.0,1197.0,1124.0,1729.0,6685,3210,1098,2743,2185,10747.0,529.0,10395.0,5649.0,14342.0,35.38,410.2035048,0.527595948,83705113,1,0,0,617846.1733333333,562032.3366666667,519660.45,0,0,0,1,0,0,0,0,0,1577822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,771596,0,0,0,0,1,0,0,264054,0,0,0,1,0
4975,12009064128,28.210902,-80.695965,Florida,Brevard County,64128.0,12.0,9.0,11107.0,109856.0,51.6,3083.0,1774.0,1865.0,1418.0,5614,1737,1328,2531,2277,9051.0,396.0,9322.0,1275.0,10990.0,5.35,2076.074766,0.533987575,24277041,1,0,0,591158.4333333333,558705.53,520205.8566666667,0,1,0,1,1,1,0,806749,0,1925701,434068,302806,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1668508,353071,0,0,0,1,0,1,350150,0,522058,0,1,0
1459,12011010503,26.3298105,-80.2600636,Florida,Broward County,10503.0,12.0,11.0,21117.0,203116.0,36.0,5424.0,530.0,876.0,2762.0,9892,2942,1203,4017,3985,12853.0,1558.0,16360.0,3538.0,20563.0,11.11,1900.720072,0.468437752,95048259,1,0,0,606662.6266666667,558553.6033333334,518337.2766666667,0,0,0,1,0,1,0,0,0,1808611,0,396767,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3028565,357329,0,0,0,0,1,0,0,358726,0,0,1,0
3978,12086009052,25.7647536,-80.3489597,Florida,Miami-Dade County,9052.0,12.0,86.0,4303.0,51149.0,43.4,833.0,746.0,751.0,441.0,1335,1132,809,638,276,3811.0,29.0,3714.0,4096.0,4303.0,0.27,15937.03704,0.602370439,140522662,1,0,0,627718.6633333333,557760.1566666666,536339.9966666667,0,3,2,3,1,2,0,4067669,1135584,7072484,356795,1006611,0,0,0,1,0,1,0,0,0,1799254,0,616048,2,5,0,0,1,800051,5052916,0,0,819950,0,2,2,0,953877,738457,0,0,1,0
2681,12061050704,27.627496,-80.4544024,Florida,Indian River County,50704.0,12.0,61.0,3246.0,113354.0,58.7,694.0,566.0,615.0,258.0,1696,539,328,365,187,2739.0,22.0,2995.0,155.0,3201.0,3.55,914.3661972,0.594886014,5986673,1,0,0,510922.44666666666,555847.14,522755.4266666667,1,1,0,1,0,1,833827,1017508,0,1983272,0,305949,1,1,0,1,0,1,833827,1017508,0,1983272,0,305949,0,1,0,0,0,0,907942,0,0,0,0,0,1,0,0,702859,0,0,1,0
2735,12099007812,26.6938983,-80.2262195,Florida,Palm Beach County,7812.0,12.0,99.0,5318.0,74527.0,44.0,1104.0,824.0,515.0,680.0,1635,1404,1079,635,389,4303.0,1206.0,3763.0,1130.0,5308.0,1.61,3303.10559,0.529522377,75792930,1,0,0,537229.3533333334,599983.77,555776.45,1,1,1,1,1,1,768930,1259049,465065,2418940,437250,440871,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4119545,0,0,290115,0,1,1,0,420064,819819,0,0,0,1
4246,12086009055,25.7636549,-80.3567989,Florida,Miami-Dade County,9055.0,12.0,86.0,2376.0,72019.0,46.4,566.0,145.0,234.0,149.0,1100,614,285,302,209,2091.0,15.0,2146.0,2085.0,2334.0,0.25,9504.0,0.536195286,140522662,1,0,0,646277.65,581009.61,545886.47,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,1,0,1,0,0,0,1799254,0,616048,2,5,0,0,1,800051,5052916,0,0,819950,1,2,2,0,953877,738457,0,0,0,1
3978,12086009052,25.7647536,-80.3489597,Florida,Miami-Dade County,9052.0,12.0,86.0,4303.0,51149.0,43.4,833.0,746.0,751.0,441.0,1335,1132,809,638,276,3811.0,29.0,3714.0,4096.0,4303.0,0.27,15937.03704,0.602370439,140522662,1,0,0,627718.6633333333,557760.1566666666,536339.9966666667,0,3,2,3,1,2,0,4067669,1135584,7072484,356795,1006611,0,0,0,1,0,1,0,0,0,1799254,0,616048,2,5,0,0,1,800051,5052916,0,0,819950,0,2,2,0,953877,738457,0,0,0,1
3403,12086018901,25.6625875,-80.4119411,Florida,Miami-Dade County,18901.0,12.0,86.0,3529.0,96356.0,38.1,863.0,214.0,143.0,631.0,1491,662,363,725,337,2633.0,157.0,3204.0,2166.0,3479.0,0.45,7842.222222,0.559648626,140522662,1,0,0,685568.2733333333,566069.64,529627.1166666667,1,3,1,1,1,2,653898,3511183,294561,2688695,495150,1007380,0,0,0,0,0,1,0,0,0,0,0,500092,2,7,0,0,0,950022,5746610,0,0,0,1,1,1,0,1134979,483807,0,0,0,1
4070,12086009020,25.7644962,-80.3696807,Florida,Miami-Dade County,9020.0,12.0,86.0,3120.0,37731.0,38.5,769.0,364.0,397.0,334.0,934,939,436,336,44,2511.0,52.0,2304.0,2915.0,3113.0,0.12,26000.0,0.558012821,140522662,1,0,0,632490.55,550483.0266666666,525430.8533333334,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,0,0,1,0,0,0,0,0,616048,2,4,0,0,1,800051,4075582,0,0,819950,3,2,1,0,953877,562742,0,0,0,1
4247,12086009054,25.7654013,-80.3645041,Florida,Miami-Dade County,9054.0,12.0,86.0,1935.0,61932.0,47.8,430.0,123.0,151.0,99.0,794,606,137,362,50,1610.0,3.0,1488.0,1856.0,1908.0,0.25,7740.0,0.485788114,140522662,1,0,0,613748.34,551349.81,525127.1166666667,0,3,2,3,1,3,0,4067669,1135584,7072484,356795,1275842,0,0,0,0,0,1,0,0,0,0,0,616048,2,4,0,0,1,800051,4075582,0,0,819950,1,2,2,0,953877,738457,0,0,0,1
3397,12086019402,25.6505374,-80.4070121,Florida,Miami-Dade County,19402.0,12.0,86.0,5568.0,69224.0,32.1,1308.0,270.0,161.0,443.0,1858,1661,394,995,284,3898.0,271.0,4286.0,3461.0,5499.0,1.9,2930.526316,0.536099138,140522662,1,0,0,694576.5933333334,565935.5566666666,523643.5833333333,1,2,1,0,0,2,653898,2298416,294561,0,0,1007380,0,0,0,0,0,1,0,0,0,0,0,500092,2,6,0,0,0,950022,4977859,0,0,0,1,1,1,0,1134979,483807,0,0,0,1
2681,12061050704,27.627496,-80.4544024,Florida,Indian River County,50704.0,12.0,61.0,3246.0,113354.0,58.7,694.0,566.0,615.0,258.0,1696,539,328,365,187,2739.0,22.0,2995.0,155.0,3201.0,3.55,914.3661972,0.594886014,5986673,1,0,0,510922.44666666666,555847.14,522755.4266666667,1,1,0,1,0,1,833827,1017508,0,1983272,0,305949,1,1,0,1,0,1,833827,1017508,0,1983272,0,305949,0,1,0,0,0,0,907942,0,0,0,0,0,1,0,0,702859,0,0,0,1
3149,12001002204,29.677987,-82.4798497,Florida,Alachua County,2204.0,12.0,1.0,11001.0,94229.0,39.3,2950.0,1169.0,973.0,1269.0,5515,2328,592,1966,1971,8374.0,626.0,8460.0,504.0,10899.0,12.49,880.7846277,0.528315608,12653895,1,0,0,647293.11,569265.9633333334,521476.56333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2403309,0,0,0,0,0,0,0,0,0,0,0,0,1
4975,12009064128,28.210902,-80.695965,Florida,Brevard County,64128.0,12.0,9.0,11107.0,109856.0,51.6,3083.0,1774.0,1865.0,1418.0,5614,1737,1328,2531,2277,9051.0,396.0,9322.0,1275.0,10990.0,5.35,2076.074766,0.533987575,24277041,1,0,0,591158.4333333333,558705.53,520205.8566666667,0,1,0,1,1,1,0,806749,0,1925701,434068,302806,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1668508,353071,0,0,0,1,0,1,350150,0,522058,0,0,1
6988,47155080500,35.8589088,-83.5845258,Tennessee,Sevier County,80500.0,47.0,155.0,5335.0,44792.0,46.5,1562.0,835.0,801.0,668.0,2635,817,628,763,244,4368.0,3.0,4962.0,728.0,5305.0,8.09,659.4561187,0.200187441,3566399,0,1,0,645238.7933333333,554943.28,524555.04,1,1,0,1,0,1,757014,594799,0,5083217,0,218319,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,123710,835542,0,0,0,0,1,0,1,788124,0,321679,1,0,0
6457,47141000800,36.1740674,-85.517972,Tennessee,Putnam County,800.0,47.0,141.0,6171.0,34531.0,20.8,789.0,989.0,581.0,306.0,961,4017,358,171,228,3077.0,430.0,5564.0,506.0,6105.0,1.81,3409.392265,0.072111489,3058788,0,1,0,562621.5966666667,443014.63,400508.9633333333,1,0,0,1,1,1,1378546,0,0,2642770,323738,357762,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,309586,924318,0,0,0,0,1,0,1,660811,0,340950,1,0,0
6459,47141000700,36.1615331,-85.5313547,Tennessee,Putnam County,700.0,47.0,141.0,3385.0,47600.0,37.5,734.0,986.0,575.0,409.0,1092,1225,431,306,133,2917.0,285.0,2859.0,252.0,3296.0,3.27,1035.168196,0.117577548,3058788,0,1,0,562052.4466666667,428508.1666666667,392313.04333333333,1,0,0,1,1,1,1378546,0,0,2642770,323738,357762,0,0,0,0,1,0,0,0,0,0,323738,0,1,1,0,0,0,309586,924318,0,0,0,0,1,0,1,660811,0,340950,1,0,0
6463,47141000500,36.1630311,-85.4840281,Tennessee,Putnam County,500.0,47.0,141.0,2166.0,67064.0,32.2,569.0,556.0,226.0,240.0,872,692,218,464,336,1811.0,200.0,1882.0,111.0,2140.0,1.55,1397.419355,0.211449677,3058788,0,1,0,541436.2766666666,434789.88,410762.9533333333,1,0,0,2,1,1,1378546,0,0,4567778,323738,357762,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,309586,924318,0,0,0,0,1,0,1,660811,0,340950,1,0,0
7783,47011010201,35.1911049,-84.8491389,Tennessee,Bradley County,10201.0,47.0,11.0,3152.0,35160.0,29.0,784.0,307.0,194.0,346.0,1080,622,387,359,187,2052.0,18.0,2608.0,485.0,3081.0,1.07,2945.794393,0.125634518,3951977,0,1,0,539108.9933333333,485302.22,449408.9166666667,1,1,0,1,1,1,922139,681329,0,2446663,404792,358260,1,0,0,1,0,0,922139,0,0,2446663,0,0,0,1,0,0,0,0,1078833,0,0,0,0,1,0,1,640877,0,226016,1,0,0
6988,47155080500,35.8589088,-83.5845258,Tennessee,Sevier County,80500.0,47.0,155.0,5335.0,44792.0,46.5,1562.0,835.0,801.0,668.0,2635,817,628,763,244,4368.0,3.0,4962.0,728.0,5305.0,8.09,659.4561187,0.200187441,3566399,0,1,0,645238.7933333333,554943.28,524555.04,1,1,0,1,0,1,757014,594799,0,5083217,0,218319,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,123710,835542,0,0,0,0,1,0,1,788124,0,321679,0,1,0
7189,47093005803,35.8977396,-84.148696,Tennessee,Knox County,5803.0,47.0,93.0,3466.0,120661.0,46.1,895.0,404.0,326.0,413.0,1617,806,367,800,269,2829.0,33.0,3295.0,124.0,3466.0,2.9,1195.172414,0.28390075,24085375,0,1,0,504034.2,529035.4366666666,500254.3566666667,0,0,1,1,1,1,0,0,232446,1598199,418345,316047,0,0,0,1,0,1,0,0,0,1598199,0,316047,0,1,1,0,0,0,641018,248678,0,0,2,0,1,0,0,667805,0,0,1,0
7562,47179060401,36.33236,-82.3742714,Tennessee,Washington County,60401.0,47.0,179.0,2090.0,76698.0,57.9,532.0,363.0,307.0,237.0,924,365,178,381,301,1622.0,90.0,1696.0,139.0,2090.0,1.66,1259.036145,0.33492823,5382599,0,1,0,532499.14,504806.94666666666,483054.73333333334,1,1,0,2,1,1,1091655,542085,0,4279978,391805,490858,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,403896,0,401799,0,0,2,1,0,1,545687,0,544090,0,1,0
6988,47155080500,35.8589088,-83.5845258,Tennessee,Sevier County,80500.0,47.0,155.0,5335.0,44792.0,46.5,1562.0,835.0,801.0,668.0,2635,817,628,763,244,4368.0,3.0,4962.0,728.0,5305.0,8.09,659.4561187,0.200187441,3566399,0,1,0,645238.7933333333,554943.28,524555.04,1,1,0,1,0,1,757014,594799,0,5083217,0,218319,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,123710,835542,0,0,0,0,1,0,1,788124,0,321679,0,0,1
