Total Visits,Population,MedianIncome,MedianAge,Family,Nonfamily,Householdsize0,Householdsize2,Pop Age 15+: Married,Pop Age 15+: Nevermarried,Pop Age 15+: Divorced,Pop Age 25+: Bachelor's Degree,Pop Age 25 Grad Professional,Adult,Blackpop,Whitepop,Hispanicpop,Mobility,PopulationGrowthRate,Personal Crime Index (AGS),Motor Vehicle Theft Aggregate (AGS),AREA,POP_C,Population_Density,Female_density,GDP,Is_Florida,Is_Tennessee,Is_Alabama,TJ.Maxx,Marshalls,HomeGoods,Total_competing_store_count_3m,Total_competing_store_visits_3m,Lowe's_3m,The Home Depot_3m,Walmart_3m,Burlington_3m,Kohl's_3m,Ross Dress for Less_3m,Lowe's_visits_3m,The Home Depot_visits_3m,Walmart_visits_3m,Burlington_visits_3m,Kohl's_visits_3m,Ross Dress for Less_visits_3m,Total_competing_store_count1,Total_competing_store_visits1,Lowe's_1m,The Home Depot_1m,Burlington_1m,Kohl's_1m,Ross Dress for Less_1m,Lowe's_visits_1m,The Home Depot_visits_1m,Burlington_visits_1m,Kohl's_visits_1m,Ross Dress for Less_visits_1m,Total_grocery_store_count,Total_grocery_store_visits,Aldi's_3m,Publix_3m,The Fresh Market_3m,Whole Foods Market_3m,Winn-Dixie_3m,Aldi's_visits_3m,Publix_visits_3m,The Fresh Market_visits_3m,Whole Foods Market_visits_3m,Winn-Dixie_visits_3m,num_star,tjmaxx_3m,Marshalls_3m,Homegoods_3m,tjmaxx_visits_3m,Marshalls_visits_3m,Homegoods_visits_3m
1134979,5568,69224,32.1,1308,270,161,443,1858,1661,394,995,284,3898,271,4286,3461,5499,0.33,135,1431820,1.90290799,5562,2926.047938,0.536099138,140522662,1,0,0,1,0,0,7,5467022,1,3,1,0,0,2,653898,3511183,294561,0,0,1007380,1,500092,0,0,0,0,1,0,0,0,0,500092,9,6823844,2,7,0,0,0,950022,5873822,0,0,0,1,0,1,0,0,483807,0
827305,11001,94229,39.3,2950,1169,973,1269,5515,2328,592,1966,1971,8374,626,8460,504,10899,0.91,39,312576,12.49370238,12048,880.5236163,0.528315608,12653895,1,0,0,1,0,0,1,744403,0,1,0,0,0,0,0,744403,0,0,0,0,1,744403,0,1,0,0,0,0,744403,0,0,0,5,3763824,0,4,1,0,0,0,3482123,281701,0,0,1,0,0,0,0,0,0
817421,4079,41510,33.6,983,794,604,424,1143,1371,591,412,140,2989,1045,2483,408,4013,-0.29,170,452452,1.89144163,4016,2156.556108,0.511399853,14144123,1,0,0,1,0,0,7,5102355,1,1,1,1,1,2,769381,648457,282514,2489050,419942,493011,1,282514,0,0,0,0,0,0,0,0,0,0,6,4164705,0,2,1,0,2,0,2032278,675316,0,741829,0,0,1,0,0,277451,0
802937,4809,95652,41.3,1292,129,185,580,2413,1206,121,926,394,3710,1240,2565,849,4750,-0.21,9,66654,1.13417231,4793,4240.096463,0.543980037,75792930,1,0,0,1,0,0,3,3174103,0,1,0,1,0,1,0,1244925,0,1552577,0,376601,2,1621526,0,1,0,0,1,0,1244925,0,0,376601,11,7427828,2,6,0,0,1,680423,4696322,0,0,713399,0,0,1,0,0,302981,0
768982,3109,78851,37.5,398,1214,337,234,740,1755,209,848,317,2787,846,1907,1914,3046,-0.16,127,661960,0.59145573,3464,5256.521904,0.513991637,83705113,1,0,0,1,0,0,6,6116494,1,1,1,1,1,1,769102,882114,282191,2999672,469315,714100,5,3116822,1,1,0,1,1,769102,882114,0,469315,714100,6,3237414,2,2,0,0,1,321943,1787405,0,0,322481,2,0,0,0,0,0,0
697556,6817,106345,39.9,1819,667,176,1007,3229,1913,615,1656,718,5521,1089,4279,3054,6786,8.01,116,1429736,5.65193008,8296,1206.136648,0.506967874,95048259,1,0,0,1,0,0,4,4040276,0,1,1,1,0,1,0,822186,770927,2015410,0,431753,4,4040276,0,1,1,0,1,0,822186,2015410,0,431753,7,4766619,1,4,1,0,1,321452,3537720,355692,0,551755,2,0,1,1,0,548214,348545
673708,4900,72614,43.1,1153,1241,359,594,1969,1342,642,616,368,3979,761,2520,1786,4861,0.98,110,471954,0.94625381,4391,5178.314685,0.594897959,20452076,1,0,0,1,0,0,3,1451598,0,1,0,0,1,1,0,899577,0,0,328047,223974,2,1123551,0,1,0,0,1,0,899577,0,0,223974,8,5049599,0,5,1,0,2,0,4068371,323129,0,658099,2,0,0,0,0,0,0
659108,1474,75795,71.3,415,434,551,68,804,162,178,291,374,1442,0,1461,10,1474,0.51,13,18590,0.77541765,1889,1900.911077,0.52917232,19267728,1,0,0,1,0,0,2,1055396,1,0,1,0,0,0,779499,0,275897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3347665,1,4,0,0,1,127727,2983934,0,0,236004,0,0,1,0,0,127309,0
629904,6838,93693,36.8,1807,1106,542,955,2835,1605,807,1712,901,5155,722,5308,238,6838,-0.09,83,422418,2.39474548,5886,2855.418272,0.483035975,13327769,1,0,0,1,0,0,2,1963800,1,1,0,0,0,0,951087,1012713,0,0,0,0,1,1012713,0,1,0,0,0,0,1012713,0,0,0,4,3545686,0,2,1,0,0,0,2393824,391313,0,0,1,0,0,1,0,0,335144
625093,5044,69500,46.8,1214,828,651,394,2057,1132,596,1114,441,4058,323,4359,135,4978,-0.2,14,80660,0.94857591,4433,5317.444758,0.553132435,45673601,1,0,0,1,0,0,5,4855844,1,1,0,1,1,1,734293,1044519,0,2151043,627180,298809,3,1660282,1,0,0,1,1,734293,0,0,627180,298809,11,8000846,1,5,1,1,1,338981,5249022,314702,1112705,106745,1,0,0,1,0,0,477152
